Wk1
Saints/Rams
Bengals/Steelers
Bills/Chargers
Commanders/Jets
Lions/Vikings
Browns/Texans
Packers/Panthers
Seahawks/Titans
Colts/Falcons
Jaguars/Buccaneers
Cowboys/Dolphins
Cardinals/Bears
Patriots/Broncos
Raiders/Chiefs
Giants/Eagles
Ravens/49ers
